V_DS(mV),I(mA)
4.4,0
51,0.21
105,0.3
162,0.4
204,0.41
233,0.49
310,0.59
410,0.68
507,0.8
610,0.86
701,0.96
810,1
927,1.02
1016,1.06
1110,1.11
1192,1.16
1317,1.18
1404,1.18
1505,1.18
2000,1.2
10000	,1.21
20000	,1.21
