V_DS(mV),I(mA)
4.4,0
104,0.22
200,0.39
290,0.44
301,0.46
390,0.58
507,0.62
604,0.68
696,0.76
810,0.79
906,0.8
993,0.8
1111,0.81
1200,0.81
3000,0.82
35,0.18
160,0.32
10000	,0.84
20000	,0.84
