V_DS(mV),I(mA)
4.4,0
52,0.21
99,0.35
149,0.4
210,0.52
247,0.59
304,0.64
350,0.74
403,0.8
444,0.84
506,0.96
550,0.99
603,1.04
645,1.09
700,1.19
769,1.2
800,1.22
849,1.26
907,1.32
950,1.38
990,1.39
1055,1.4
1120,1.41
1200,1.44
1300,1.5
1410,1.56
1519,1.58
1600,1.59
1700,1.59
2000,1.59
3000,1.6
10000	,1.61
20000	,1.61
