V_DS(mV),I(mA)
4.4,0
98,0.21
156,0.26
204,0.36
250,0.39
304,0.4
411,0.42
445,0.44
508,0.48
605,0.54
703,0.56
809,0.59
930,0.59
1000,0.59
2000,0.59
10000	,0.59
20000	,0.59
