time,volt,
-2.9599992876e-07,0.00e+00
-2.9199997106e-07,0.00e+00
-2.8800001336e-07,0.00e+00
-2.8399994198e-07,2.00e-02
-2.7999998428e-07,2.00e-02
-2.7599991289e-07,0.00e+00
-2.7199995519e-07,0.00e+00
-2.6799999750e-07,0.00e+00
-2.6399992611e-07,2.00e-02
-2.5999996841e-07,2.00e-02
-2.5600001071e-07,2.00e-02
-2.5199993933e-07,2.00e-02
-2.4799998163e-07,2.00e-02
-2.4400002393e-07,2.00e-02
-2.3999995255e-07,2.00e-02
-2.3599999485e-07,2.00e-02
-2.3199992346e-07,2.00e-02
-2.2799996576e-07,0.00e+00
-2.2400000807e-07,2.00e-02
-2.1999993668e-07,2.00e-02
-2.1599997898e-07,2.00e-02
-2.1200002128e-07,2.00e-02
-2.0799994990e-07,2.00e-02
-2.0399999220e-07,2.00e-02
-1.9999992082e-07,2.00e-02
-1.9599996312e-07,2.00e-02
-1.9200000542e-07,2.00e-02
-1.8799993403e-07,0.00e+00
-1.8399997633e-07,2.00e-02
-1.8000001864e-07,2.00e-02
-1.7599994725e-07,2.00e-02
-1.7199998955e-07,2.00e-02
-1.6799991817e-07,0.00e+00
-1.6399996047e-07,2.00e-02
-1.6000000277e-07,2.00e-02
-1.5599993139e-07,0.00e+00
-1.5199997369e-07,2.00e-02
-1.4800001599e-07,-2.00e-02
-1.4399994460e-07,2.00e-02
-1.3999998690e-07,2.00e-02
-1.3599991552e-07,0.00e+00
-1.3199995782e-07,2.00e-02
-1.2800000012e-07,0.00e+00
-1.2399992874e-07,2.00e-02
-1.1999997104e-07,2.00e-02
-1.1600001334e-07,0.00e+00
-1.1199994196e-07,0.00e+00
-1.0799998426e-07,2.00e-02
-1.0400002656e-07,2.00e-02
-9.9999955174e-08,2.00e-02
-9.5999997475e-08,2.00e-02
-9.1999926090e-08,2.00e-02
-8.7999968392e-08,0.00e+00
-8.4000010693e-08,2.00e-02
-7.9999939308e-08,2.00e-02
-7.5999981610e-08,2.00e-02
-7.2000023911e-08,2.00e-02
-6.7999952526e-08,-2.00e-02
-6.3999994828e-08,2.00e-02
-5.9999923442e-08,-2.00e-02
-5.5999965744e-08,-1.20e-01
-5.2000008046e-08,-2.60e-01
-4.7999993504e-08,-4.40e-01
-4.3999978962e-08,-5.60e-01
-3.9999964420e-08,-6.60e-01
-3.5999949878e-08,-6.80e-01
-3.1999992180e-08,-6.60e-01
-2.7999977638e-08,-5.60e-01
-2.3999963096e-08,-3.80e-01
-1.9999948554e-08,-2.20e-01
-1.5999990856e-08,-6.00e-02
-1.1999976314e-08,1.00e-01
-7.9999617724e-09,2.40e-01
-3.9999472306e-09,4.20e-01
1.0467832956e-14,5.40e-01
4.0000250096e-09,6.40e-01
8.0000395515e-09,7.40e-01
1.1999997250e-08,7.60e-01
1.6000011792e-08,7.60e-01
