time,volt,volt_1
-2.2000001627e-04,-2.28e+00,8.00e-03
-2.1000001288e-04,-2.20e+00,1.60e-02
-2.0000000950e-04,-2.28e+00,2.40e-02
-1.9000000611e-04,-2.16e+00,0.00e+00
-1.8000001728e-04,-2.28e+00,0.00e+00
-1.7000001390e-04,-2.16e+00,5.60e-02
-1.6000001051e-04,-2.20e+00,0.00e+00
-1.5000000712e-04,-2.28e+00,3.20e-02
-1.4000000374e-04,-2.20e+00,1.60e-02
-1.3000001491e-04,-2.28e+00,0.00e+00
-1.2000001152e-04,-2.28e+00,1.60e-02
-1.1000000814e-04,-2.20e+00,-8.00e-03
-1.0000000475e-04,-2.20e+00,-8.00e-03
-9.0000008640e-05,-2.28e+00,1.60e-02
-8.0000005255e-05,-2.28e+00,0.00e+00
-7.0000001870e-05,-2.16e+00,1.60e-02
-6.0000005760e-05,-2.20e+00,-1.60e-02
-5.0000002375e-05,-2.28e+00,2.40e-02
-4.0000002627e-05,-2.20e+00,0.00e+00
-3.0000002880e-05,-2.28e+00,1.60e-02
-2.0000001314e-05,-2.16e+00,1.60e-02
-1.0000000657e-05,-2.20e+00,0.00e+00
0.0000000000e+00,2.28e+00,2.40e-02
1.0000000657e-05,2.40e+00,-8.00e-03
2.0000001314e-05,2.32e+00,2.40e-02
3.0000002880e-05,2.40e+00,8.00e-03
4.0000002627e-05,2.36e+00,1.60e-02
5.0000002375e-05,2.28e+00,0.00e+00
6.0000005760e-05,2.32e+00,1.60e-02
7.0000001870e-05,2.28e+00,-1.60e-02
8.0000005255e-05,2.28e+00,1.60e-02
9.0000008640e-05,2.28e+00,0.00e+00
1.0000000475e-04,2.28e+00,0.00e+00
1.1000000814e-04,2.24e+00,3.20e-02
1.2000001152e-04,2.24e+00,5.60e-02
1.3000001491e-04,2.28e+00,0.00e+00
1.4000000374e-04,2.24e+00,1.60e-02
1.5000000712e-04,2.24e+00,-8.00e-03
1.6000001051e-04,2.24e+00,1.60e-02
1.7000001390e-04,2.20e+00,0.00e+00
1.8000001728e-04,2.24e+00,1.60e-02
1.9000000611e-04,2.20e+00,8.00e-03
2.0000000950e-04,2.24e+00,8.00e-03
2.1000001288e-04,2.20e+00,8.00e-03
2.2000001627e-04,2.20e+00,1.60e-02
2.3000001966e-04,2.24e+00,0.00e+00
2.4000002304e-04,2.20e+00,3.20e-02
2.5000001187e-04,2.24e+00,0.00e+00
2.6000002981e-04,2.20e+00,0.00e+00
2.7000001865e-04,2.20e+00,2.40e-02
2.8000000748e-04,2.20e+00,-8.00e-03
2.9000002542e-04,2.20e+00,1.60e-02
3.0000001425e-04,2.20e+00,-8.00e-03
3.1000003219e-04,2.16e+00,1.60e-02
3.2000002102e-04,2.20e+00,0.00e+00
3.3000000985e-04,2.20e+00,1.60e-02
3.4000002779e-04,2.20e+00,1.60e-02
3.5000001662e-04,2.16e+00,0.00e+00
3.6000003456e-04,2.20e+00,1.60e-02
3.7000002339e-04,2.16e+00,-8.00e-03
3.8000001223e-04,2.20e+00,0.00e+00
3.9000003017e-04,2.16e+00,1.60e-02
4.0000001900e-04,2.16e+00,2.40e-02
4.1000003694e-04,2.20e+00,-3.20e-02
4.2000002577e-04,2.16e+00,8.00e-03
4.3000001460e-04,2.20e+00,1.60e-02
4.4000003254e-04,2.20e+00,1.60e-02
4.5000002137e-04,2.16e+00,-8.00e-03
4.6000003931e-04,2.16e+00,0.00e+00
4.7000002814e-04,2.20e+00,4.00e-02
4.8000004608e-04,2.20e+00,0.00e+00
4.9000000581e-04,2.16e+00,1.60e-02
5.0000002375e-04,2.16e+00,5.60e-02
5.1000004169e-04,-2.76e+00,-2.40e-02
5.2000005962e-04,-2.44e+00,8.00e-03
5.3000001935e-04,-2.40e+00,3.20e-02
5.4000003729e-04,-2.36e+00,1.60e-02
5.5000005523e-04,-2.44e+00,0.00e+00
5.6000001496e-04,-2.40e+00,8.00e-03
5.7000003289e-04,-2.36e+00,1.60e-02
5.8000005083e-04,-2.40e+00,2.40e-02
5.9000001056e-04,-2.28e+00,0.00e+00
6.0000002850e-04,-2.36e+00,1.60e-02
6.1000004644e-04,-2.32e+00,-8.00e-03
6.2000006437e-04,-2.32e+00,2.40e-02
6.3000002410e-04,-2.36e+00,0.00e+00
6.4000004204e-04,-2.36e+00,-1.60e-02
6.5000005998e-04,-2.28e+00,2.40e-02
6.6000001971e-04,-2.32e+00,0.00e+00
6.7000003764e-04,-2.28e+00,1.60e-02
6.8000005558e-04,-2.20e+00,2.40e-02
6.9000007352e-04,-2.32e+00,0.00e+00
7.0000003325e-04,-2.28e+00,1.60e-02
7.1000005119e-04,-2.32e+00,-2.40e-02
7.2000006912e-04,-2.28e+00,0.00e+00
7.3000002885e-04,-2.28e+00,2.40e-02
7.4000004679e-04,-2.28e+00,1.60e-02
7.5000006473e-04,-2.28e+00,8.00e-03
7.6000002446e-04,-2.28e+00,1.60e-02
7.7000004239e-04,-2.32e+00,-1.60e-02
7.8000006033e-04,-2.20e+00,1.60e-02
7.9000007827e-04,-2.32e+00,-8.00e-03
8.0000003800e-04,-2.32e+00,1.60e-02
8.1000005594e-04,-2.16e+00,0.00e+00
8.2000007387e-04,-2.28e+00,1.60e-02
8.3000003360e-04,-2.20e+00,-8.00e-03
8.4000005154e-04,-2.20e+00,0.00e+00
8.5000006948e-04,-2.28e+00,1.60e-02
8.6000002921e-04,-2.20e+00,1.60e-02
8.7000004714e-04,-2.28e+00,0.00e+00
8.8000006508e-04,-2.28e+00,2.40e-02
8.9000008302e-04,-2.20e+00,0.00e+00
9.0000004275e-04,-2.16e+00,1.60e-02
9.1000006068e-04,-2.20e+00,0.00e+00
9.2000007862e-04,-2.16e+00,0.00e+00
9.3000003835e-04,-2.28e+00,1.60e-02
9.4000005629e-04,-2.28e+00,4.80e-02
9.5000007423e-04,-2.16e+00,0.00e+00
9.6000009216e-04,-2.28e+00,1.60e-02
9.7000005189e-04,-2.20e+00,0.00e+00
9.8000001162e-04,-2.16e+00,0.00e+00
9.9000008777e-04,-2.28e+00,2.40e-02
1.0000000475e-03,2.28e+00,6.40e-02
1.0100001236e-03,2.44e+00,0.00e+00
1.0200000834e-03,2.36e+00,0.00e+00
1.0300000431e-03,2.32e+00,3.20e-02
1.0400001192e-03,2.32e+00,1.60e-02
1.0500000790e-03,2.28e+00,0.00e+00
1.0600000387e-03,2.28e+00,-1.60e-02
1.0700001149e-03,2.32e+00,2.40e-02
1.0800000746e-03,2.28e+00,1.60e-02
1.0900000343e-03,2.24e+00,0.00e+00
1.1000001105e-03,2.24e+00,0.00e+00
1.1100000702e-03,2.28e+00,1.60e-02
1.1200000299e-03,2.28e+00,0.00e+00
1.1300001061e-03,2.24e+00,2.40e-02
1.1400000658e-03,2.24e+00,1.60e-02
1.1500000255e-03,2.24e+00,-8.00e-03
1.1600001017e-03,2.24e+00,4.00e-02
1.1700000614e-03,2.24e+00,0.00e+00
1.1800000211e-03,2.24e+00,0.00e+00
1.1900000973e-03,2.20e+00,4.00e-02
1.2000000570e-03,2.20e+00,3.20e-02
1.2100001331e-03,2.24e+00,-8.00e-03
1.2200000929e-03,2.20e+00,0.00e+00
1.2300000526e-03,2.24e+00,1.60e-02
1.2400001287e-03,2.20e+00,1.60e-02
1.2500000885e-03,2.24e+00,-1.60e-02
1.2600000482e-03,2.20e+00,8.00e-03
1.2700001244e-03,2.20e+00,0.00e+00
1.2800000841e-03,2.20e+00,8.00e-03
1.2900000438e-03,2.16e+00,0.00e+00
1.3000001200e-03,2.16e+00,-3.20e-02
1.3100000797e-03,2.24e+00,8.00e-03
1.3200000394e-03,2.20e+00,0.00e+00
1.3300001156e-03,2.16e+00,1.60e-02
1.3400000753e-03,2.20e+00,0.00e+00
1.3500000350e-03,2.16e+00,1.60e-02
1.3600001112e-03,2.20e+00,0.00e+00
1.3700000709e-03,2.16e+00,1.60e-02
1.3800001470e-03,2.16e+00,0.00e+00
1.3900001068e-03,2.20e+00,2.40e-02
1.4000000665e-03,2.16e+00,-8.00e-03
1.4100001426e-03,2.20e+00,1.60e-02
1.4200001024e-03,2.20e+00,4.00e-02
1.4300000621e-03,2.08e+00,-1.60e-02
1.4400001382e-03,2.16e+00,8.00e-03
1.4500000980e-03,2.20e+00,0.00e+00
1.4600000577e-03,2.16e+00,0.00e+00
1.4700001338e-03,2.20e+00,4.00e-02
1.4800000936e-03,2.16e+00,1.60e-02
1.4900000533e-03,2.20e+00,0.00e+00
1.5000001295e-03,2.20e+00,4.80e-02
1.5100000892e-03,-2.76e+00,-1.60e-02
1.5200000489e-03,-2.44e+00,4.00e-02
1.5300001251e-03,-2.36e+00,-8.00e-03
1.5400000848e-03,-2.44e+00,0.00e+00
1.5500000445e-03,-2.36e+00,1.60e-02
1.5600001207e-03,-2.40e+00,1.60e-02
