X,CH1,CH2,

-6.0000005178e-03,-4.20e-01,4.88e-01
-5.9800003655e-03,-2.60e-01,4.96e-01
-5.9600002132e-03,-2.40e-01,4.96e-01
-5.9400005266e-03,-6.00e-02,5.04e-01
-5.9200003743e-03,-2.00e-02,5.04e-01
-5.9000002220e-03,1.40e-01,4.96e-01
-5.8800005354e-03,1.60e-01,5.04e-01
-5.8600003831e-03,3.20e-01,4.88e-01
-5.8400002308e-03,3.60e-01,4.88e-01
-5.8200005442e-03,5.20e-01,4.64e-01
-5.8000003919e-03,5.40e-01,4.64e-01
-5.7800002396e-03,7.00e-01,4.40e-01
-5.7600005530e-03,7.20e-01,4.40e-01
-5.7400004007e-03,8.80e-01,4.08e-01
-5.7200002484e-03,9.00e-01,4.08e-01
-5.7000005618e-03,1.02e+00,3.68e-01
-5.6800004095e-03,1.02e+00,3.68e-01
-5.6600002572e-03,1.16e+00,3.20e-01
-5.6400005706e-03,1.16e+00,3.20e-01
-5.6200004183e-03,1.26e+00,2.80e-01
-5.6000002660e-03,1.28e+00,2.72e-01
-5.5800005794e-03,1.36e+00,2.24e-01
-5.5600004271e-03,1.38e+00,2.16e-01
-5.5400002748e-03,1.42e+00,1.68e-01
-5.5200005881e-03,1.44e+00,1.52e-01
-5.5000004359e-03,1.48e+00,1.04e-01
-5.4800002836e-03,1.50e+00,1.04e-01
-5.4600001313e-03,1.54e+00,4.00e-02
-5.4400004447e-03,1.52e+00,4.00e-02
-5.4200002924e-03,1.54e+00,-1.60e-02
-5.4000001401e-03,1.54e+00,-1.60e-02
-5.3800004534e-03,1.50e+00,-7.20e-02
-5.3600003012e-03,1.52e+00,-7.99e-02
-5.3400001489e-03,1.46e+00,-1.36e-01
-5.3200004622e-03,1.46e+00,-1.36e-01
-5.3000003099e-03,1.40e+00,-1.84e-01
-5.2800001577e-03,1.38e+00,-1.92e-01
-5.2600004710e-03,1.30e+00,-2.56e-01
-5.2400003187e-03,1.30e+00,-2.48e-01
-5.2200001664e-03,1.22e+00,-2.88e-01
-5.2000004798e-03,1.20e+00,-2.96e-01
-5.1800003275e-03,1.06e+00,-3.36e-01
