time,h
1.33E-04,4.88E-01
1.34E-04,4.76E-01
1.35E-04,4.76E-01
1.36E-04,4.76E-01
1.37E-04,5.12E-01
1.38E-04,5.00E-01
1.39E-04,5.00E-01
1.40E-04,5.00E-01
1.41E-04,5.24E-01
1.42E-04,5.24E-01
1.43E-04,5.48E-01
1.44E-04,5.24E-01
1.45E-04,5.48E-01
1.46E-04,5.48E-01
1.47E-04,5.48E-01
1.48E-04,5.71E-01
1.49E-04,5.61E-01
1.50E-04,5.71E-01
1.51E-04,5.71E-01
1.52E-04,5.71E-01
1.53E-04,5.95E-01
1.54E-04,5.81E-01
1.55E-04,5.85E-01
1.56E-04,5.95E-01
1.57E-04,5.95E-01
1.58E-04,5.95E-01
1.59E-04,6.19E-01
1.60E-04,6.19E-01
1.61E-04,6.19E-01
1.62E-04,6.19E-01
1.63E-04,6.19E-01
1.64E-04,6.19E-01
1.65E-04,6.43E-01
1.66E-04,6.43E-01
1.67E-04,6.19E-01
1.68E-04,6.43E-01
1.69E-04,6.43E-01
1.70E-04,6.43E-01
1.71E-04,6.67E-01
1.72E-04,6.67E-01
1.73E-04,6.43E-01
1.74E-04,6.67E-01
1.75E-04,6.67E-01
1.76E-04,6.67E-01
1.77E-04,6.83E-01
1.78E-04,6.67E-01
1.79E-04,6.90E-01
1.80E-04,6.67E-01
1.81E-04,6.74E-01
1.82E-04,6.90E-01
1.83E-04,6.90E-01
1.84E-04,6.90E-01
1.85E-04,7.32E-01
1.86E-04,7.14E-01
1.87E-04,6.90E-01
1.88E-04,7.14E-01
1.89E-04,7.14E-01
1.90E-04,7.14E-01
1.91E-04,7.38E-01
1.92E-04,6.98E-01
1.93E-04,7.38E-01
1.94E-04,7.38E-01
1.95E-04,6.98E-01
1.96E-04,7.38E-01
1.97E-04,7.21E-01
1.98E-04,7.38E-01
1.99E-04,7.38E-01
2.00E-04,7.38E-01
2.01E-04,7.38E-01
2.02E-04,7.38E-01
2.03E-04,7.44E-01
2.04E-04,7.62E-01
2.05E-04,7.38E-01
2.06E-04,7.62E-01
2.07E-04,7.44E-01
2.08E-04,7.44E-01
2.09E-04,7.62E-01
