X,CH1,Unnamed: 3,CH3
-0.00059999997029,-1.02,,1.52
-0.00059800001327,-1.14,,1.512
-0.00059599999804,-1.16,,1.532
-0.00059399998281,-1.24,,1.5239999999999998
-0.00059200002579,-1.24,,1.504
-0.00059000001056,-1.32,,1.496
-0.00058799999533,-1.32,,1.4879
-0.0005859999801,-1.38,,1.46
-0.00058400002308,-1.4,,1.444
-0.00058200000785,-1.46,,1.388
-0.00057999999262,-1.46,,1.388
-0.00057799997739,-1.5,,1.3320999999999998
-0.00057600002037,-1.52,,1.3239999999999998
-0.00057400000514,-1.54,,1.2439999999999998
-0.00057199998992,-1.54,,1.236
-0.00056999997469,-1.56,,1.1680000000000001
-0.00056800001767,-1.54,,1.1400000000000001
-0.00056600000244,-1.56,,1.052
-0.00056399998721,-1.56,,1.044
-0.00056199997198,-1.52,,0.9239999999999999
-0.00056000001496,-1.54,,0.9159999999999999
-0.00055799999973,-1.5,,0.816
-0.0005559999845,-1.5,,0.7879999999999999
-0.00055400002748,-1.46,,0.656
-0.00055200001225,-1.46,,0.656
-0.00054999999702,-1.4,,0.516
-0.00054799998179,-1.4,,0.508
-0.00054600002477,-1.32,,0.37599999999999995
-0.00054400000954,-1.32,,0.37599999999999995
-0.00054199999431,-1.24,,0.22399999999999998
-0.00053999997908,-1.22,,0.22399999999999998
-0.00053800002206,-1.14,,0.08799999999999997
-0.00053600000683,-1.12,,0.05999999999999994
-0.0005339999916,-1.02,,-0.07600000000000001
-0.00053199997637,-1.0,,-0.07600000000000001
-0.00053000001935,-0.9,,-0.21200000000000002
-0.00052800000412,-0.9,,-0.23200000000000004
-0.00052599998889,-0.78,,-0.36799999999999994
-0.00052399997367,-0.76,,-0.38799999999999996
-0.00052200001664,-0.64,,-0.5
-0.00052000000142,-0.62,,-0.5279999999999999
-0.00051799998619,-0.5,,-0.6679999999999999
-0.00051599997096,-0.48,,-0.688
-0.00051400001394,-0.34,,-0.8
-0.00051199999871,-0.34,,-0.8200000000000001
-0.00050999998348,-0.16,,-0.932
-0.00050800002646,-0.18,,-0.9440000000000001
-0.00050600001123,0.0,,-1.048
-0.000503999996,0.0,,-1.068
-0.00050199998077,0.14,,-1.1720000000000002
-0.00050000002375,0.16,,-1.1720000000000002
-0.00049800000852,0.3,,-1.268
-0.00049599999329,0.32,,-1.26
-0.00049399997806,0.44,,-1.336
-0.00049200002104,0.46,,-1.328
-0.00049000000581,0.6,,-1.396
-0.00048799999058,0.6,,-1.408
-0.00048600000446,0.74,,-1.468
-0.00048399998923,0.74,,-1.468
-0.0004820000031,0.86,,-1.516
-0.00047999998787,0.88,,-1.528
-0.00047800000175,0.98,,-1.54
-0.00047599998652,0.98,,-1.56
-0.00047400000039,1.08,,-1.552
-0.00047199998517,1.1,,-1.564
-0.00046999999904,1.2,,-1.5559999999999998
-0.00046800001292,1.2,,-1.5479999999999998
-0.00046599999769,1.28,,-1.528
-0.00046400001156,1.3,,-1.52
-0.00046199999633,1.36,,-1.512
-0.00046000001021,1.36,,-1.484
-0.00045799999498,1.42,,-1.448
-0.00045600000885,1.42,,-1.42
-0.00045399999362,1.48,,-1.392
-0.0004520000075,1.46,,-1.384
-0.00044999999227,1.52,,-1.2959999999999998
-0.00044800000614,1.52,,-1.2879999999999998
-0.00044599999092,1.54,,-1.2000000000000002
-0.00044400000479,1.54,,-1.1920000000000002
-0.00044199998956,1.52,,-1.112
-0.00044000000344,1.52,,-1.084
-0.00043799998821,1.54,,-0.996
-0.00043600000208,1.52,,-0.996
-0.00043399998685,1.48,,-0.8959999999999999
-0.00043200000073,1.5,,-0.8679999999999999
-0.0004299999855,1.44,,-0.7480000000000001
-0.00042799999937,1.44,,-0.7400000000000001
-0.00042600001325,1.38,,-0.608
-0.00042399999802,1.38,,-0.5599999999999999
-0.00042200001189,1.32,,-0.448
-0.00041999999667,1.3,,-0.42
-0.00041800001054,1.24,,-0.316
-0.00041599999531,1.22,,-0.296
-0.00041400000919,1.16,,-0.17200000000000004
-0.00041199999396,1.12,,-0.132
-0.00041000000783,1.04,,-0.008000000000000007
-0.0004079999926,1.02,,0.01200000000000001
-0.00040600000648,0.92,,0.14800000000000002
-0.00040399999125,0.92,,0.16800000000000004
-0.00040200000512,0.78,,0.30400000000000005
-0.0003999999899,0.78,,0.30400000000000005
-0.00039800000377,0.66,,0.45200000000000007
-0.00039599998854,0.64,,0.44400000000000006
-0.00039400000242,0.52,,0.5920000000000001
-0.00039199998719,0.5,,0.6120000000000001
-0.00039000000106,0.36,,0.744
-0.00038799998583,0.34,,0.744
-0.00038599999971,0.2,,0.8760000000000001
-0.00038400001358,0.2,,0.8760000000000001
-0.00038199999835,0.06,,0.98
-0.00038000001223,0.06,,1.0
-0.000377999997,-0.1,,1.116
-0.00037600001087,-0.14,,1.116
-0.00037399999565,-0.26,,1.212
-0.00037200000952,-0.28,,1.212
-0.00036999999429,-0.42,,1.28
-0.00036800000817,-0.44,,1.292
-0.00036599999294,-0.56,,1.3679999999999999
-0.00036400000681,-0.58,,1.3519999999999999
-0.00036199999158,-0.7,,1.408
-0.00036000000546,-0.72,,1.42
-0.00035799999023,-0.84,,1.48
-0.0003560000041,-0.84,,1.472
-0.00035399998887,-0.96,,1.512
-0.00035200000275,-0.98,,1.512
-0.00034999998752,-1.08,,1.544
-0.0003480000014,-1.1,,1.516
-0.00034599998617,-1.2,,1.508
-0.00034400000004,-1.2,,1.5
-0.00034199998481,-1.28,,1.5
-0.00033999999869,-1.28,,1.492
-0.00033800001256,-1.36,,1.476
-0.00033599999733,-1.36,,1.476
-0.00033400001121,-1.42,,1.44
-0.00033199999598,-1.44,,1.42
-0.00033000000985,-1.48,,1.3639999999999999
-0.00032799999462,-1.48,,1.3559999999999999
-0.0003260000085,-1.52,,1.2799999999999998
-0.00032399999327,-1.54,,1.2799999999999998
-0.00032200000715,-1.52,,1.22
-0.00031999999192,-1.54,,1.1840000000000002
-0.00031800000579,-1.56,,1.124
-0.00031599999056,-1.56,,1.096
-0.00031400000444,-1.54,,0.988
-0.00031199998921,-1.54,,0.98
-0.00031000000308,-1.52,,0.8599999999999999
-0.00030799998785,-1.52,,0.8719999999999999
-0.00030600000173,-1.48,,0.7200000000000001
-0.0003039999865,-1.48,,0.7120000000000001
-0.00030200000037,-1.42,,0.6
-0.00029999998515,-1.42,,0.5920000000000001
-0.00029799999902,-1.36,,0.46
-0.0002960000129,-1.36,,0.46
-0.00029399999767,-1.28,,0.30000000000000004
-0.00029200001154,-1.28,,0.30000000000000004
-0.00028999999631,-1.2,,0.15600000000000003
-0.00028800001019,-1.18,,0.15600000000000003
-0.00028599999496,-1.08,,-0.008000000000000007
-0.00028400000883,-1.06,,-0.008000000000000007
-0.0002819999936,-0.96,,-0.14400000000000002
-0.00028000000748,-0.96,,-0.14400000000000002
-0.00027799999225,-0.84,,-0.30000000000000004
-0.00027600000612,-0.84,,-0.32000000000000006
