X,CH1,Unnamed: 3,CH3
-0.0011999999406,-1.04,,1.38
-0.0011960000265,-1.14,,1.32
-0.0011919999961,-1.14,,1.3
-0.0011879999656,-1.24,,1.24
-0.0011840000516,-1.26,,1.2
-0.0011800000211,-1.32,,1.14
-0.0011759999907,-1.34,,1.0999999999999999
-0.0011719999602,-1.42,,1.0
-0.0011680000462,-1.42,,0.98
-0.0011640000157,-1.48,,0.8599999999999999
-0.0011599999852,-1.48,,0.8599999999999999
-0.0011559999548,-1.54,,0.7400000000000001
-0.0011520000407,-1.54,,0.7400000000000001
-0.0011480000103,-1.56,,0.5800000000000001
-0.0011439999798,-1.56,,0.5800000000000001
-0.0011399999494,-1.6,,0.43999999999999995
-0.0011360000353,-1.58,,0.41999999999999993
-0.0011320000049,-1.6,,0.30000000000000004
-0.0011279999744,-1.58,,0.28
-0.001123999944,-1.56,,0.1399999999999999
-0.0011200000299,-1.54,,0.12
-0.0011159999995,-1.56,,0.0
-0.001111999969,-1.54,,0.0
-0.001108000055,-1.5,,-0.16000000000000003
-0.0011040000245,-1.5,,-0.17999999999999994
-0.001099999994,-1.46,,-0.31999999999999995
-0.0010959999636,-1.44,,-0.33999999999999997
-0.0010920000495,-1.36,,-0.46
-0.0010880000191,-1.36,,-0.46
-0.0010839999886,-1.28,,-0.6200000000000001
-0.0010799999582,-1.28,,-0.6000000000000001
-0.0010760000441,-1.18,,-0.74
-0.0010720000137,-1.18,,-0.74
-0.0010679999832,-1.06,,-0.8801
-0.0010639999527,-1.06,,-0.8999999999999999
-0.0010600000387,-0.94,,-1.0199
-0.0010560000082,-0.92,,-1.0399
-0.0010519999778,-0.82,,-1.1
-0.0010479999473,-0.8,,-1.16
-0.0010440000333,-0.68,,-1.22
-0.0010400000028,-0.66,,-1.24
-0.0010359999724,-0.54,,-1.32
-0.0010319999419,-0.5,,-1.34
-0.0010280000279,-0.38,,-1.4
-0.0010239999974,-0.36,,-1.42
-0.001019999967,-0.22,,-1.46
-0.0010160000529,-0.2,,-1.48
-0.0010120000225,-0.0799,,-1.52
-0.001007999992,-0.02,,-1.52
-0.0010039999615,0.1,,-1.54
-0.0010000000475,0.12,,-1.54
-0.00099600001704,0.26,,-1.58
-0.00099199998658,0.28,,-1.56
-0.00098799995612,0.42,,-1.56
-0.00098400004208,0.44,,-1.56
-0.00098000001162,0.56,,-1.54
-0.00097599998116,0.58,,-1.56
-0.00097200000891,0.7,,-1.54
-0.00096799997846,0.72,,-1.52
-0.00096400000621,0.84,,-1.52
-0.00095999997575,0.86,,-1.5
-0.0009560000035,0.98,,-1.44
-0.00095199997304,0.98,,-1.42
-0.00094800000079,1.08,,-1.3599999999999999
-0.00094399997033,1.1,,-1.38
-0.00093999999808,1.2,,-1.26
-0.00093600002583,1.22,,-1.24
-0.00093199999537,1.28,,-1.16
-0.00092800002312,1.3,,-1.1401
-0.00092399999266,1.36,,-1.06
-0.00092000002041,1.38,,-1.04
-0.00091599998996,1.42,,-0.9199999999999999
-0.00091200001771,1.44,,-0.9199999999999999
-0.00090799998725,1.5,,-0.7999999999999998
-0.000904000015,1.5,,-0.78
-0.00089999998454,1.52,,-0.6800000000000002
-0.00089600001229,1.54,,-0.6600000000000001
-0.00089199998183,1.56,,-0.52
-0.00088800000958,1.56,,-0.5
-0.00088399997912,1.56,,-0.36
-0.00088000000687,1.56,,-0.3400000000000001
-0.00087599997642,1.56,,-0.21999999999999997
-0.00087200000416,1.56,,-0.19999999999999996
-0.00086799997371,1.52,,-0.08000000000000007
-0.00086400000146,1.52,,-0.040000000000000036
-0.000859999971,1.48,,0.07999999999999996
-0.00085599999875,1.48,,0.09999999999999998
-0.0008520000265,1.44,,0.24
-0.00084799999604,1.42,,0.2599999999999999
-0.00084400002379,1.36,,0.37999999999999995
-0.00083999999333,1.36,,0.39999999999999997
-0.00083600002108,1.28,,0.54
-0.00083199999062,1.26,,0.54
-0.00082800001837,1.2,,0.66
-0.00082399998792,1.16,,0.7000000000000001
-0.00082000001566,1.06,,0.8
-0.00081599998521,1.06,,0.8200000000000001
-0.00081200001296,0.96,,0.98
-0.0008079999825,0.94,,0.9600000000000001
-0.00080400001025,0.84,,1.08
-0.00079999997979,0.8,,1.08
-0.00079600000754,0.7,,1.1600000000000001
-0.00079199997708,0.68,,1.2000000000000002
-0.00078800000483,0.56,,1.26
-0.00078399997437,0.54,,1.28
-0.00078000000212,0.4,,1.3199999999999998
-0.00077599997167,0.4,,1.3399999999999999
-0.00077199999942,0.26,,1.42
-0.00076800002716,0.24,,1.42
-0.00076399999671,0.0799,,1.46
-0.00076000002446,0.0799,,1.48
-0.000755999994,-0.0799,,1.5
-0.00075200002175,-0.1,,1.5
-0.00074799999129,-0.24,,1.52
-0.00074400001904,-0.26,,1.54
-0.00073999998858,-0.4,,1.54
-0.00073600001633,-0.42,,1.54
-0.00073199998587,-0.54,,1.52
-0.00072800001362,-0.58,,1.5
-0.00072399998317,-0.68,,1.5
-0.00072000001092,-0.7,,1.5
-0.00071599998046,-0.84,,1.46
-0.00071200000821,-0.84,,1.44
-0.00070799997775,-0.96,,1.42
-0.0007040000055,-0.98,,1.38
-0.00069999997504,-1.08,,1.3399999999999999
-0.00069600000279,-1.1,,1.3399999999999999
-0.00069199997233,-1.18,,1.28
-0.00068800000008,-1.2,,1.26
-0.00068399996962,-1.28,,1.18
-0.00067999999737,-1.3,,1.16
-0.00067600002512,-1.36,,1.06
-0.00067199999467,-1.38,,1.04
-0.00066800002242,-1.46,,0.94
-0.00066399999196,-1.46,,0.9199999999999999
-0.00066000001971,-1.5,,0.7999999999999998
-0.00065599998925,-1.5,,0.7999999999999998
-0.000652000017,-1.54,,0.6600000000000001
-0.00064799998654,-1.54,,0.6400000000000001
-0.00064400001429,-1.56,,0.52
-0.00063999998383,-1.58,,0.5
-0.00063600001158,-1.6,,0.38
-0.00063199998112,-1.58,,0.36
-0.00062800000887,-1.56,,0.21999999999999997
-0.00062399997842,-1.58,,0.19999999999999996
-0.00062000000617,-1.54,,0.06000000000000005
-0.00061599997571,-1.56,,0.06000000000000005
-0.00061200000346,-1.52,,-0.08000000000000007
-0.000607999973,-1.52,,-0.09999999999999998
-0.00060400000075,-1.48,,-0.21999999999999997
-0.00059999997029,-1.46,,-0.26
-0.00059599999804,-1.4,,-0.38
-0.00059200002579,-1.4,,-0.42
-0.00058799999533,-1.34,,-0.52
-0.00058400002308,-1.32,,-0.54
-0.00057999999262,-1.24,,-0.66
-0.00057600002037,-1.22,,-0.68
-0.00057199998992,-1.14,,-0.84
-0.00056800001767,-1.1,,-0.84
-0.00056399998721,-1.0,,-0.92
-0.00056000001496,-1.0,,-0.96
-0.0005559999845,-0.88,,-1.1
-0.00055200001225,-0.88,,-1.1
-0.00054799998179,-0.76,,-1.18
-0.00054400000954,-0.74,,-1.2
-0.00053999997908,-0.6,,-1.28
