H,w
1.4375,10681.415022205296
1.2285714285714286,10681.415022205296
1.2285714285714286,10681.415022205296
1.0,10681.415022205296
1.0,10681.415022205296
0.8571428571428571,10681.415022205296
0.8333333333333333,10681.415022205296
0.7111111111111111,10681.415022205296
0.673913043478261,10681.415022205296
0.5833333333333333,10681.415022205296
0.5625000000000001,10681.415022205296
0.48,10681.415022205296
0.5,10681.415022205296
0.3962264150943396,10681.415022205296
0.37735849056603776,10681.415022205296
0.2962962962962963,10681.415022205296
0.27777777777777773,10681.415022205296
0.21818181818181825,10681.415022205296
0.21818181818181825,10681.415022205296
0.10714285714285723,10681.415022205296
0.10714285714285696,10681.415022205296
0.01754385964912281,10681.415022205296
0.017857142857142586,10681.415022205296
-0.03508771929824562,10681.415022205296
-0.07142857142857142,10681.415022205296
-0.14035087719298237,10681.415022205296
-0.1578947368421052,10681.415022205296
-0.21428571428571425,10681.415022205296
-0.23214285714285712,10681.415022205296
-0.3148148148148146,10681.415022205296
-0.3148148148148146,10681.415022205296
-0.3962264150943395,10681.415022205296
-0.3962264150943395,10681.415022205296
-0.5098039215686274,10681.415022205296
-0.5098039215686274,10681.415022205296
-0.5918367346938777,10681.415022205296
-0.6041666666666667,10681.415022205296
-0.717391304347826,10681.415022205296
-0.7391304347826088,10681.415022205296
-0.8604651162790699,10681.415022205296
-0.8372093023255816,10681.415022205296
-1.0,10681.415022205296
-1.0,10681.415022205296
-1.1351351351351353,10681.415022205296
-1.1944444444444446,10681.415022205296
-1.40625,10681.415022205296
-1.40625,10681.415022205296
-1.6785714285714284,10681.415022205296
-1.6785714285714284,10681.415022205296
-2.0833333333333335,10681.415022205296
-2.0833333333333335,10681.415022205296
-2.55,10681.415022205296
-2.55,10681.415022205296
-3.5333333333333337,10681.415022205296
-3.7857142857142856,10681.415022205296
-4.818181818181818,10681.415022205296
-6.000000000000001,10681.415022205296
-10.799999999999997,10681.415022205296
-10.800999999999998,10681.415022205296
-54.0,10681.415022205296
-inf,10681.415022205296
11.0,10681.415022205296
10.8,10681.415022205296
5.4,10681.415022205296
4.818181818181818,10681.415022205296
3.5333333333333337,10681.415022205296
3.5333333333333337,10681.415022205296
2.6842105263157894,10681.415022205296
2.6842105263157894,10681.415022205296
2.1304347826086953,10681.415022205296
2.0833333333333335,10681.415022205296
1.6785714285714284,10681.415022205296
1.620689655172414,10681.415022205296
1.40625,10681.415022205296
1.3636363636363635,10681.415022205296
1.1666666666666667,10681.415022205296
1.1666666666666667,10681.415022205296
0.9999999999999999,10681.415022205296
0.95,10681.415022205296
0.7906976744186046,10681.415022205296
0.7906976744186046,10681.415022205296
0.673913043478261,10681.415022205296
0.6304347826086957,10681.415022205296
0.5510204081632654,10681.415022205296
0.5306122448979592,10681.415022205296
0.45098039215686264,10681.415022205296
0.43137254901960786,10681.415022205296
0.3584905660377358,10681.415022205296
0.33962264150943405,10681.415022205296
0.27777777777777773,10681.415022205296
0.2545454545454546,10681.415022205296
0.17857142857142858,10681.415022205296
0.17857142857142858,10681.415022205296
0.08928571428571429,10681.415022205296
0.0892857142857141,10681.415022205296
-0.0,10681.415022205296
-0.01724137931034483,10681.415022205296
-0.10714285714285696,10681.415022205296
-0.08771929824561404,10681.415022205296
-0.175438596491228,10681.415022205296
-0.17857142857142846,10681.415022205296
-0.24561403508771915,10681.415022205296
-0.2678571428571427,10681.415022205296
-0.35185185185185175,10681.415022205296
-0.3333333333333332,10681.415022205296
-0.4339622641509433,10681.415022205296
-0.4339622641509433,10681.415022205296
-0.54,10681.415022205296
-0.54,10681.415022205296
-0.6122448979591838,10681.415022205296
-0.6458333333333335,10681.415022205296
-0.717391304347826,10681.415022205296
-0.7555555555555555,10681.415022205296
-0.8837209302325583,10681.415022205296
-0.8809523809523812,10681.415022205296
-1.076923076923077,10681.415022205296
-1.0512820512820513,10681.415022205296
-1.2222222222222223,10681.415022205296
-1.2857142857142858,10681.415022205296
-1.4375,10681.415022205296
-1.4838709677419355,10681.415022205296
-1.714285714285714,10681.415022205296
-1.8148148148148147,10681.415022205296
-2.217391304347826,10681.415022205296
-2.217391304347826,10681.415022205296
-2.736842105263158,10681.415022205296
-2.8888888888888893,10681.415022205296
-3.857142857142857,10681.415022205296
-4.230769230769231,10681.415022205296
-6.111111111111112,10681.415022205296
-6.875,10681.415022205296
-13.76720901126408,10681.415022205296
-13.76720901126408,10681.415022205296
56.00000000000001,10681.415022205296
27.5,10681.415022205296
7.857142857142857,10681.415022205296
7.857142857142857,10681.415022205296
4.909090909090909,10681.415022205296
4.500000000000001,10681.415022205296
3.375,10681.415022205296
3.25,10681.415022205296
2.4761904761904763,10681.415022205296
2.428571428571429,10681.415022205296
1.923076923076923,10681.415022205296
1.8846153846153846,10681.415022205296
1.6551724137931034,10681.415022205296
1.5666666666666667,10681.415022205296
1.3333333333333335,10681.415022205296
1.2941176470588236,10681.415022205296
1.135,10681.415022205296
1.1081081081081081,10681.415022205296
0.9025609756097561,10681.415022205296
0.9269512195121952,10681.415022205296
0.7727272727272727,10681.415022205296
0.7727272727272728,10681.415022205296
0.6739130434782608,10681.415022205296
0.6304347826086956,10681.415022205296
0.5306122448979592,10681.415022205296
0.5306122448979592,10681.415022205296
0.43137254901960786,10681.415022205296
0.4038461538461538,10681.415022205296
0.33962264150943405,10681.415022205296
0.3148148148148149,10681.415022205296
0.2545454545454546,10681.415022205296
0.23636363636363644,10681.415022205296
0.17857142857142846,10681.415022205296
0.16071428571428578,10681.415022205296
0.07017543859649106,10681.415022205296
0.07142857142857124,10681.415022205296
-0.03508771929824544,10681.415022205296
-0.01754385964912281,10681.415022205296
-0.10714285714285696,10681.415022205296
-0.10714285714285723,10681.415022205296
-0.175438596491228,10681.415022205296
-0.17857142857142846,10681.415022205296
-0.25454545454545435,10681.415022205296
-0.27272727272727254,10681.415022205296
-0.35185185185185175,10681.415022205296
-0.35185185185185175,10681.415022205296
-0.4423076923076922,10681.415022205296
-0.4423076923076922,10681.415022205296
-0.56,10681.415022205296
-0.56,10681.415022205296
-0.6458333333333335,10681.415022205296
-0.6595744680851066,10681.415022205296
-0.7777777777777778,10681.415022205296
-0.7777777777777778,10681.415022205296
-0.904761904761905,10681.415022205296
-0.904761904761905,10681.415022205296
-1.0789473684210527,10681.415022205296
-1.105263157894737,10681.415022205296
-1.2857142857142858,10681.415022205296
-1.3235294117647058,10681.415022205296
-1.5333333333333334,10681.415022205296
-1.5333333333333334,10681.415022205296
-1.846153846153846,10681.415022205296
-1.923076923076923,10681.415022205296
-2.3181818181818183,10681.415022205296
-2.380952380952381,10681.415022205296
-2.8888888888888884,10681.415022205296
-3.0588235294117645,10681.415022205296
-4.076923076923077,10681.415022205296
-4.333333333333334,10681.415022205296
-6.75,10681.415022205296
-6.75,10681.415022205296
-18.333333333333336,10681.415022205296
-18.000000000000004,10681.415022205296
54.0,10681.415022205296
17.998333333333335,10681.415022205296
7.571428571428571,10681.415022205296
6.75,10681.415022205296
4.416666666666667,10681.415022205296
4.153846153846154,10681.415022205296
3.0,10681.415022205296
2.8888888888888893,10681.415022205296
2.380952380952381,10681.415022205296
2.380952380952381,10681.415022205296
1.846153846153846,10681.415022205296
1.846153846153846,10681.415022205296
1.5161290322580645,10681.415022205296
1.4838709677419355,10681.415022205296
1.2647058823529411,10681.415022205296
1.2647058823529411,10681.415022205296
1.0526315789473684,10681.415022205296
1.0789473684210527,10681.415022205296
0.8780487804878049,10681.415022205296
0.8809523809523809,10681.415022205296
0.7333333333333334,10681.415022205296
0.75,10681.415022205296
0.6382978723404256,10681.415022205296
0.6041666666666666,10681.415022205296
0.52,10681.415022205296
0.52,10681.415022205296
0.4038461538461538,10681.415022205296
