X,CH1,Unnamed: 3,CH3
-0.00059999997029,1.52,,-1.1440000000000001
-0.00059800001327,1.5,,-1.048
-0.00059599999804,1.52,,-1.056
-0.00059399998281,1.54,,-0.988
-0.00059200002579,1.54,,-0.98
-0.00059000001056,1.54,,-0.8999999999999999
-0.00058799999533,1.54,,-0.8999999999999999
-0.0005859999801,1.56,,-0.7999999999999999
-0.00058400002308,1.54,,-0.7919999999999999
-0.00058200000785,1.54,,-0.7000000000000001
-0.00057999999262,1.52,,-0.6920000000000002
-0.00057799997739,1.5,,-0.5720000000000001
-0.00057600002037,1.5,,-0.5720000000000001
-0.00057400000514,1.48,,-0.45199999999999996
-0.00057199998992,1.48,,-0.45199999999999996
-0.00056999997469,1.44,,-0.36
-0.00056800001767,1.44,,-0.33999999999999997
-0.00056600000244,1.38,,-0.24
-0.00056399998721,1.38,,-0.248
-0.00056199997198,1.34,,-0.128
-0.00056000001496,1.34,,-0.136
-0.00055799999973,1.28,,-0.0040000000000000036
-0.0005559999845,1.28,,-0.0040000000000000036
-0.00055400002748,1.22,,0.09199999999999997
-0.00055200001225,1.2,,0.09199999999999997
-0.00054999999702,1.12,,0.21600000000000003
-0.00054799998179,1.14,,0.21600000000000003
-0.00054600002477,1.06,,0.31200000000000006
-0.00054400000954,1.04,,0.332
-0.00054199999431,0.96,,0.44000000000000006
-0.00053999997908,0.96,,0.44000000000000006
-0.00053800002206,0.88,,0.5359999999999999
-0.00053600000683,0.88,,0.5479999999999999
-0.0005339999916,0.78,,0.6559999999999999
-0.00053199997637,0.76,,0.6479999999999999
-0.00053000001935,0.68,,0.756
-0.00052800000412,0.66,,0.7678999999999999
-0.00052599998889,0.58,,0.856
-0.00052399997367,0.56,,0.8759999999999999
-0.00052200001664,0.46,,0.9400000000000001
-0.00052000000142,0.46,,0.9600000000000001
-0.00051799998619,0.34,,1.052
-0.00051599997096,0.34,,1.052
-0.00051400001394,0.24,,1.116
-0.00051199999871,0.22,,1.108
-0.00050999998348,0.12,,1.2000000000000002
-0.00050800002646,0.1,,1.1920000000000002
-0.00050600001123,0.0,,1.256
-0.000503999996,0.0,,1.268
-0.00050199998077,-0.14,,1.3239999999999998
