X,CH1,Unnamed: 3,CH3
-0.0030000002589,0.82,,1.5
-0.0029900001828,0.64,,1.54
-0.0029800001066,0.62,,1.54
-0.0029700002633,0.42,,1.56
-0.0029600001872,0.4,,1.56
-0.002950000111,0.18,,1.54
-0.0029400002677,0.14,,1.52
-0.0029300001916,-0.0799,,1.5
-0.0029200001154,-0.1,,1.48
-0.0029100002721,-0.32,,1.42
-0.002900000196,-0.34,,1.4
-0.0028900001198,-0.56,,1.3
-0.0028800002765,-0.58,,1.28
-0.0028700002003,-0.78,,1.1400000000000001
-0.0028600001242,-0.78,,1.12
-0.0028500002809,-0.96,,0.98
-0.0028400002047,-1.0,,0.96
-0.0028300001286,-1.16,,0.74
-0.0028200002853,-1.18,,0.72
-0.0028100002091,-1.32,,0.54
-0.002800000133,-1.32,,0.52
-0.0027900002897,-1.46,,0.33999999999999997
-0.0027800002135,-1.44,,0.29999999999999993
-0.0027700001374,-1.54,,0.09999999999999998
-0.0027600002941,-1.54,,0.08000000000000007
-0.0027500002179,-1.6,,-0.14
-0.0027400001418,-1.6,,-0.16000000000000003
-0.0027300000656,-1.62,,-0.38
-0.0027200002223,-1.62,,-0.38
-0.0027100001462,-1.6,,-0.5800000000000001
-0.00270000007,-1.6,,-0.6000000000000001
-0.0026900002267,-1.56,,-0.8199999999999998
-0.0026800001506,-1.54,,-0.8199999999999998
-0.0026700000744,-1.46,,-1.0
-0.0026600002311,-1.46,,-1.02
-0.002650000155,-1.34,,-1.18
-0.0026400000788,-1.34,,-1.2
-0.0026300002355,-1.2,,-1.34
-0.0026200001594,-1.2,,-1.3599999999999999
-0.0026100000832,-1.04,,-1.46
-0.0026000002399,-1.02,,-1.46
-0.0025900001638,-0.84,,-1.52
-0.0025800000876,-0.82,,-1.54
-0.0025700002443,-0.62,,-1.58
-0.0025600001682,-0.6,,-1.6
-0.002550000092,-0.4,,-1.6
-0.0025400002487,-0.36,,-1.6
-0.0025300001726,-0.16,,-1.58
-0.0025200000964,-0.14,,-1.56
-0.0025100002531,0.1,,-1.52
-0.002500000177,0.12,,-1.5
-0.0024900001008,0.34,,-1.42
