X,CH1,Unnamed: 3,CH3
-0.00059999997029,0.12,,-1.012
-0.00059800001327,0.3,,-1.148
-0.00059599999804,0.3,,-1.168
-0.00059399998281,0.48,,-1.264
-0.00059200002579,0.5,,-1.284
-0.00059000001056,0.66,,-1.3639999999999999
-0.00058799999533,0.68,,-1.356
-0.0005859999801,0.82,,-1.456
-0.00058400002308,0.84,,-1.476
-0.00058200000785,0.96,,-1.516
-0.00057999999262,1.0,,-1.508
-0.00057799997739,1.12,,-1.54
-0.00057600002037,1.12,,-1.54
-0.00057400000514,1.24,,-1.5439999999999998
-0.00057199998992,1.24,,-1.5439999999999998
-0.00056999997469,1.34,,-1.536
-0.00056800001767,1.36,,-1.5479
-0.00056600000244,1.42,,-1.512
-0.00056399998721,1.42,,-1.484
-0.00056199997198,1.48,,-1.448
-0.00056000001496,1.48,,-1.42
-0.00055799999973,1.52,,-1.3439999999999999
-0.0005559999845,1.52,,-1.3239999999999998
-0.00055400002748,1.54,,-1.256
-0.00055200001225,1.54,,-1.228
-0.00054999999702,1.52,,-1.1280000000000001
-0.00054799998179,1.52,,-1.092
-0.00054600002477,1.46,,-0.992
-0.00054400000954,1.46,,-0.964
-0.00054199999431,1.4,,-0.8439999999999999
-0.00053999997908,1.4,,-0.804
-0.00053800002206,1.32,,-0.6439999999999999
-0.00053600000683,1.32,,-0.6239999999999999
-0.0005339999916,1.22,,-0.472
-0.00053199997637,1.22,,-0.45199999999999996
-0.00053000001935,1.12,,-0.28800000000000003
-0.00052800000412,1.1,,-0.28
-0.00052599998889,0.96,,-0.11600000000000005
-0.00052399997367,0.96,,-0.09600000000000003
-0.00052200001664,0.82,,0.08000000000000002
-0.00052000000142,0.8,,0.09999999999999998
-0.00051799998619,0.64,,0.268
-0.00051599997096,0.62,,0.28800000000000003
-0.00051400001394,0.48,,0.496
-0.00051199999871,0.46,,0.496
-0.00050999998348,0.28,,0.64
-0.00050800002646,0.26,,0.668
-0.00050600001123,0.1,,0.812
-0.000503999996,0.06,,0.8320000000000001
-0.00050199998077,-0.12,,0.964
-0.00050000002375,-0.14,,0.976
-0.00049800000852,-0.3,,1.092
-0.00049599999329,-0.34,,1.124
-0.00049399997806,-0.5,,1.22
-0.00049200002104,-0.52,,1.24
-0.00049000000581,-0.66,,1.32
-0.00048799999058,-0.7,,1.34
-0.00048600000446,-0.86,,1.42
-0.00048399998923,-0.86,,1.412
-0.0004820000031,-1.0,,1.492
-0.00047999998787,-1.0,,1.484
-0.00047800000175,-1.14,,1.496
-0.00047599998652,-1.14,,1.516
-0.00047400000039,-1.26,,1.528
-0.00047199998517,-1.28,,1.52
-0.00046999999904,-1.36,,1.504
-0.00046800001292,-1.36,,1.504
-0.00046599999769,-1.44,,1.468
-0.00046400001156,-1.46,,1.468
-0.00046199999633,-1.5,,1.404
-0.00046000001021,-1.5,,1.404
-0.00045799999498,-1.54,,1.3079999999999998
-0.00045600000885,-1.54,,1.2999999999999998
-0.00045399999362,-1.56,,1.212
-0.0004520000075,-1.56,,1.212
-0.00044999999227,-1.54,,1.096
-0.00044800000614,-1.54,,1.076
-0.00044599999092,-1.5,,0.948
-0.00044400000479,-1.5,,0.9279999999999999
-0.00044199998956,-1.44,,0.8
-0.00044000000344,-1.42,,0.76
-0.00043799998821,-1.36,,0.62
-0.00043600000208,-1.36,,0.6
-0.00043399998685,-1.26,,0.42799999999999994
-0.00043200000073,-1.24,,0.41999999999999993
-0.0004299999855,-1.14,,0.26400000000000007
-0.00042799999937,-1.12,,0.23600000000000004
-0.00042600001325,-1.0,,0.07200000000000001
-0.00042399999802,-0.98,,0.03199999999999997
-0.00042200001189,-0.84,,-0.124
-0.00041999999667,-0.82,,-0.136
-0.00041800001054,-0.66,,-0.31199999999999994
-0.00041599999531,-0.66,,-0.33199999999999996
-0.00041400000919,-0.48,,-0.52
-0.00041199999396,-0.48,,-0.54
-0.00041000000783,-0.3,,-0.684
-0.0004079999926,-0.28,,-0.712
-0.00040600000648,-0.1,,-0.8560000000000001
-0.00040399999125,-0.0799,,-0.876
-0.00040200000512,0.12,,-1.012
-0.0003999999899,0.12,,-1.02
-0.00039800000377,0.3,,-1.148
-0.00039599998854,0.32,,-1.148
-0.00039400000242,0.48,,-1.264
-0.00039199998719,0.5,,-1.276
-0.00039000000106,0.66,,-1.3639999999999999
-0.00038799998583,0.68,,-1.3960000000000001
-0.00038599999971,0.84,,-1.444
-0.00038400001358,0.84,,-1.456
-0.00038199999835,0.98,,-1.516
-0.00038000001223,0.98,,-1.528
-0.000377999997,1.12,,-1.54
-0.00037600001087,1.14,,-1.532
-0.00037399999565,1.24,,-1.5439999999999998
-0.00037200000952,1.24,,-1.5439999999999998
-0.00036999999429,1.34,,-1.5279
-0.00036800000817,1.34,,-1.5279
