X,CH1,Unnamed: 3,CH3
-0.0030000002589,0.12,,-1.42
-0.0029900001828,0.3,,-1.32
-0.0029800001066,0.3,,-1.32
-0.0029700002633,0.48,,-1.2
-0.0029600001872,0.52,,-1.18
-0.002950000111,0.68,,-1.06
-0.0029400002677,0.7,,-1.06
-0.0029300001916,0.84,,-0.9199999999999999
-0.0029200001154,0.88,,-0.86
-0.0029100002721,1.02,,-0.74
-0.002900000196,1.04,,-0.7
-0.0028900001198,1.16,,-0.5399999999999999
-0.0028800002765,1.16,,-0.52
-0.0028700002003,1.28,,-0.34
-0.0028600001242,1.3,,-0.34
-0.0028500002809,1.4,,-0.16000000000000003
-0.0028400002047,1.4,,-0.16000000000000003
-0.0028300001286,1.48,,0.040000000000000036
-0.0028200002853,1.48,,0.05999999999999994
-0.0028100002091,1.56,,0.26
-0.002800000133,1.56,,0.26
-0.0027900002897,1.58,,0.41999999999999993
-0.0027800002135,1.6,,0.45999999999999996
-0.0027700001374,1.58,,0.6000000000000001
-0.0027600002941,1.6,,0.6200000000000001
-0.0027500002179,1.6,,0.7999999999999999
-0.0027400001418,1.58,,0.82
-0.0027300000656,1.56,,0.96
-0.0027200002223,1.54,,0.96
-0.0027100001462,1.5,,1.1
-0.00270000007,1.48,,1.1
-0.0026900002267,1.4,,1.2201
-0.0026800001506,1.4,,1.24
-0.0026700000744,1.3,,1.3800000000000001
-0.0026600002311,1.3,,1.3999000000000001
-0.002650000155,1.18,,1.44
-0.0026400000788,1.16,,1.46
-0.0026300002355,1.04,,1.52
-0.0026200001594,1.02,,1.52
-0.0026100000832,0.88,,1.56
-0.0026000002399,0.86,,1.56
-0.0025900001638,0.7,,1.56
-0.0025800000876,0.68,,1.58
-0.0025700002443,0.52,,1.56
-0.0025600001682,0.48,,1.56
-0.002550000092,0.32,,1.52
-0.0025400002487,0.3,,1.54
-0.0025300001726,0.12,,1.48
-0.0025200000964,0.1,,1.46
-0.0025100002531,-0.1,,1.4
-0.002500000177,-0.12,,1.4
-0.0024900001008,-0.3,,1.32
-0.0024800002575,-0.34,,1.28
-0.0024700001813,-0.5,,1.1800000000000002
-0.0024600001052,-0.5,,1.16
-0.0024500002619,-0.68,,1.06
-0.0024400001857,-0.7,,1.02
-0.0024300001096,-0.88,,0.86
-0.0024200002663,-0.88,,0.86
-0.0024100001901,-1.02,,0.6799999999999999
-0.002400000114,-1.04,,0.7
-0.0023900002707,-1.18,,0.52
-0.0023800001945,-1.2,,0.49999999999999994
-0.0023700001184,-1.3,,0.32
-0.0023600000422,-1.32,,0.30000000000000004
-0.0023500001989,-1.42,,0.12
-0.0023400001228,-1.42,,0.09999999999999998
-0.0023300000466,-1.5,,-0.07999999999999996
-0.0023200002033,-1.52,,-0.07999999999999996
-0.0023100001272,-1.58,,-0.28
-0.002300000051,-1.58,,-0.28
-0.0022900002077,-1.62,,-0.45999999999999996
-0.0022800001316,-1.62,,-0.48
