X,CH1,Unnamed: 3,CH3
-0.0011999999406,1.54,,-0.32000000000000006
-0.0011960000265,1.56,,-0.21999999999999997
-0.0011919999961,1.56,,-0.19999999999999996
-0.0011879999656,1.58,,-0.10000000000000009
-0.0011840000516,1.58,,-0.10000000000000009
-0.0011800000211,1.56,,0.0
-0.0011759999907,1.58,,0.0
-0.0011719999602,1.56,,0.12
-0.0011680000462,1.58,,0.12
-0.0011640000157,1.56,,0.24
-0.0011599999852,1.56,,0.26
-0.0011559999548,1.54,,0.36
-0.0011520000407,1.54,,0.36
-0.0011480000103,1.52,,0.48
-0.0011439999798,1.52,,0.48
-0.0011399999494,1.48,,0.5800000000000001
-0.0011360000353,1.48,,0.6
-0.0011320000049,1.42,,0.7
-0.0011279999744,1.44,,0.7
-0.001123999944,1.38,,0.8
-0.0011200000299,1.36,,0.8
-0.0011159999995,1.32,,0.8800000000000001
-0.001111999969,1.3,,0.8800000000000001
-0.001108000055,1.24,,0.9800000000000001
-0.0011040000245,1.24,,0.9800000000000001
-0.001099999994,1.16,,1.08
-0.0010959999636,1.16,,1.08
-0.0010920000495,1.08,,1.1600000000000001
-0.0010880000191,1.08,,1.1799000000000002
-0.0010839999886,1.0,,1.2200000000000002
-0.0010799999582,0.98,,1.24
-0.0010760000441,0.92,,1.32
-0.0010720000137,0.88,,1.32
-0.0010679999832,0.8,,1.36
-0.0010639999527,0.8,,1.36
-0.0010600000387,0.7,,1.42
-0.0010560000082,0.68,,1.42
-0.0010519999778,0.6,,1.46
-0.0010479999473,0.6,,1.46
-0.0010440000333,0.48,,1.5
-0.0010400000028,0.46,,1.48
-0.0010359999724,0.36,,1.52
-0.0010319999419,0.34,,1.52
-0.0010280000279,0.26,,1.56
-0.0010239999974,0.24,,1.54
-0.001019999967,0.14,,1.56
-0.0010160000529,0.1,,1.56
-0.0010120000225,0.02,,1.54
-0.001007999992,0.0,,1.56
-0.0010039999615,-0.12,,1.54
-0.0010000000475,-0.14,,1.54
-0.00099600001704,-0.24,,1.52
-0.00099199998658,-0.26,,1.52
-0.00098799995612,-0.36,,1.5
-0.00098400004208,-0.38,,1.5
-0.00098000001162,-0.48,,1.48
-0.00097599998116,-0.5,,1.46
-0.00097200000891,-0.58,,1.42
-0.00096799997846,-0.6,,1.4
-0.00096400000621,-0.7,,1.38
-0.00095999997575,-0.72,,1.34
-0.0009560000035,-0.8,,1.32
-0.00095199997304,-0.82,,1.3
-0.00094800000079,-0.9,,1.24
-0.00094399997033,-0.92,,1.26
-0.00093999999808,-1.0,,1.1600000000000001
-0.00093600002583,-1.02,,1.1600000000000001
-0.00093199999537,-1.08,,1.08
-0.00092800002312,-1.08,,1.08
-0.00092399999266,-1.16,,1.0
-0.00092000002041,-1.18,,0.9801000000000001
-0.00091599998996,-1.26,,0.88
-0.00091200001771,-1.28,,0.9
-0.00090799998725,-1.32,,0.8
-0.000904000015,-1.34,,0.78
-0.00089999998454,-1.4,,0.72
-0.00089600001229,-1.38,,0.6599999999999999
-0.00089199998183,-1.44,,0.6
-0.00088800000958,-1.46,,0.6
-0.00088399997912,-1.5,,0.49999999999999994
-0.00088000000687,-1.5,,0.48
-0.00087599997642,-1.52,,0.38
-0.00087200000416,-1.52,,0.36
-0.00086799997371,-1.56,,0.28
-0.00086400000146,-1.56,,0.26
-0.000859999971,-1.6,,0.14
-0.00085599999875,-1.6,,0.14
-0.0008520000265,-1.6,,0.040000000000000036
-0.00084799999604,-1.6,,0.040000000000000036
-0.00084400002379,-1.62,,-0.07999999999999996
-0.00083999999333,-1.62,,-0.09999999999999998
-0.00083600002108,-1.6,,-0.17999999999999994
-0.00083199999062,-1.6,,-0.19999999999999996
-0.00082800001837,-1.58,,-0.32000000000000006
-0.00082399998792,-1.58,,-0.32000000000000006
-0.00082000001566,-1.56,,-0.43999999999999995
