H,w
-8.433333333333334,31415.926535897932
-3.8266666666666667,31415.926535897932
-3.893333333333333,31415.926535897932
-2.6333333333333333,31415.926535897932
-2.568,31415.926535897932
-2.066666666666667,31415.926535897932
-1.9941176470588236,31415.926535897932
-1.775609756097561,31415.926535897932
-1.7571428571428571,31415.926535897932
-1.5791666666666668,31415.926535897932
-1.508,31415.926535897932
-1.375,31415.926535897932
-1.375,31415.926535897932
-1.2451612903225806,31415.926535897932
-1.2451612903225806,31415.926535897932
-1.1462686567164178,31415.926535897932
-1.1381617647058824,31415.926535897932
-1.0647887323943663,31415.926535897932
-1.0450704225352112,31415.926535897932
-0.9783783783783784,31415.926535897932
-0.9594594594594594,31415.926535897932
-0.8842105263157896,31415.926535897932
-0.8710526315789473,31415.926535897932
-0.8155844155844155,31415.926535897932
-0.7974025974025973,31415.926535897932
-0.7421052631578947,31415.926535897932
-0.718421052631579,31415.926535897932
-0.6794520547945205,31415.926535897932
-0.6602739726027397,31415.926535897932
-0.6028571428571428,31415.926535897932
-0.5742857142857144,31415.926535897932
-0.4878787878787878,31415.926535897932
-0.4727272727272726,31415.926535897932
-0.3868852459016393,31415.926535897932
-0.37049180327868847,31415.926535897932
-0.2571428571428571,31415.926535897932
-0.2545454545454546,31415.926535897932
-0.12083333333333335,31415.926535897932
-0.1,31415.926535897932
0.0975609756097561,31415.926535897932
0.12499999999999986,31415.926535897932
0.41875,31415.926535897932
0.46451612903225803,31415.926535897932
1.0333333333333334,31415.926535897932
1.0782608695652174,31415.926535897932
2.2857142857142856,31415.926535897932
2.5692307692307694,31415.926535897932
8.12,31415.926535897932
13.866666666666669,31415.926535897932
-8.033333333333333,31415.926535897932
-6.971428571428571,31415.926535897932
-3.6400000000000006,31415.926535897932
-3.3058823529411767,31415.926535897932
-2.44,31415.926535897932
-2.3846153846153846,31415.926535897932
-2.0,31415.926535897932
-1.9142857142857146,31415.926535897932
-1.6511627906976745,31415.926535897932
-1.641860465116279,31415.926535897932
-1.492,31415.926535897932
-1.484,31415.926535897932
-1.312280701754386,31415.926535897932
-1.329824561403509,31415.926535897932
-1.2126984126984126,31415.926535897932
-1.1875,31415.926535897932
-1.1058823529411763,31415.926535897932
-1.1058823529411763,31415.926535897932
-1.0194444444444444,31415.926535897932
-1.0054794520547945,31415.926535897932
-0.9359999999999999,31415.926535897932
-0.9359999999999999,31415.926535897932
-0.8493506493506492,31415.926535897932
-0.844155844155844,31415.926535897932
-0.7769230769230768,31415.926535897932
-0.7769230769230768,31415.926535897932
-0.7116883116883117,31415.926535897932
-0.6987012987012987,31415.926535897932
-0.632,31415.926535897932
-0.6186666666666667,31415.926535897932
-0.5555555555555556,31415.926535897932
-0.5352112676056339,31415.926535897932
-0.45588235294117646,31415.926535897932
-0.4411764705882352,31415.926535897932
-0.3396825396825396,31415.926535897932
-0.33870967741935476,31415.926535897932
-0.23157894736842108,31415.926535897932
-0.2107142857142857,31415.926535897932
-0.072,31415.926535897932
-0.03265306122448969,31415.926535897932
0.14761904761904762,31415.926535897932
0.16585365853658537,31415.926535897932
0.47272727272727255,31415.926535897932
0.5030303030303028,31415.926535897932
1.0833333333333335,31415.926535897932
1.1250000000000002,31415.926535897932
2.2800000000000002,31415.926535897932
2.5428571428571427,31415.926535897932
8.56,31415.926535897932
10.963704630788486,31415.926535897932
-8.433333333333334,31415.926535897932
-8.5,31415.926535897932
